NOMBRE_EXTRUSORA,ES_ACTUAL,CAPAS,HILERA,HUSILLOS,VMAX_KG_H,VMAX_M_MIN,RPM_MAX,SOPLADO_HD,SOPLADO_LD,ANCHO_MAXIMO,CORTE_LATERAL,CORTE_CENTRAL,ABREFACIL_LATERAL,ABREFACIL_CENTRAL,SOLDADOR_LONGITUDINAL,MADERAS_PLEGADO,VENTANA_MIN_PLEGADO,FUELLE_MAXIMO,TRATADOR_CORONA,CORTE_LAMINA,_META_FECHA_REVISION,_META_FECHA_EXPORTACION
EX01,SI,1,250,250,350,150,150,,SI,1500,NO,NO,NO,NO,NO,SI,50,250,SI,NO,,2026-05-10T10:58:48.649Z
EX02,SI,1,160,160,250,150,150,,SI,1260,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX03,SI,1,225,225,350,150,150,,SI,1500,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX04,SI,1,200,200,350,150,150,,SI,1500,NO,NO,NO,NO,NO,SI,50,350,SI,NO,,2026-05-10T10:58:48.649Z
EX05,SI,3,200,200,250,150,150-120-150,SI,SI,1400,SI,SI,NO,NO,SI,SI,50,500,SI,NO,,2026-05-10T10:58:48.649Z
EX05,NO,3,325,325,,150,150-120-150,SI,SI,2000,SI,SI,NO,NO,SI,SI,50,500,SI,NO,,2026-05-10T10:58:48.649Z
EX06,SI,1,225,225,350,150,150,,SI,1500,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX07,SI,3,225,225,340,150,150-150-150,,SI,1500,SI,SI,NO,NO,NO,SI,50,280,SI,NO,,2026-05-10T10:58:48.649Z
EX08,SI,1,225,225,380,150,150,,SI,1500,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX09,SI,1,275,275,500,150,70,,SI,2000,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX10,SI,1,225,225,350,150,150,,SI,1500,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX11,SI,3,225,225,380,150,150,SI,,1480,NO,SI,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX13,SI,3,225,225,300,150,150-150,SI,,1480,SI,SI,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX14,SI,1,160,160,160,150,150,SI,,1200,NO,SI,NO,NO,NO,SI,50,300,SI,NO,,2026-05-10T10:58:48.649Z
EX15,SI,3,200,200,260,150,150,SI,,1500,SI,SI,SI,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX16,SI,1,150,150,160,150,150,,SI,1000,NO,SI,SI,NO,NO,SI,50,130,SI,NO,,2026-05-10T10:58:48.649Z
EX17,SI,3,180,180,240,150,150-150-150,SI,,1300,SI,SI,SI,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX18,SI,1,250,250,350,150,150,,SI,1500,NO,NO,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX19,SI,3,350,350,650,220,150-100-150,SI,SI,2300,SI,SI,NO,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX20,SI,3,200,200,350,220,150-120-150,SI,,1600,SI,SI,NO,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX20,NO,3,300,300,,220,150-120-150,,SI,1600,SI,SI,NO,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX22,SI,3,300,300,550,220,150-70-150,,SI,2300,SI,SI,NO,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EX22,NO,3,400,400,,220,150-70-150,,SI,2300,SI,SI,NO,SI,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z
EA05,SI,5,300,300,450,200,150-150-120-150-150,,SI,1600,NO,SI,NO,NO,NO,SI,50,500,SI,SI,,2026-05-10T10:58:48.649Z
EA06,SI,3,450,450,750,150,150-70-150,,SI,2500,NO,SI,NO,NO,NO,SI,50,600,SI,SI,,2026-05-10T10:58:48.649Z
EX21,SI,3,325,325,380,150,150-120-150,,SI,2040,NO,SI,NO,NO,SI,NO,,,NO,NO,,2026-05-10T10:58:48.649Z
EX23,SI,3,250,250,870,200,200-200-200,,SI,1765,NO,SI,NO,NO,NO,NO,,,NO,NO,,2026-05-10T10:58:48.649Z
EX24,SI,3,250,250,870,200,200-200-200,,SI,1765,NO,SI,NO,NO,NO,NO,,,SI,NO,,2026-05-10T10:58:48.649Z